directory,dep_mgr,exec_err,c1_commit,c1_results,c2_commit,c2_results
cumulus-2/data/60/3b/423620,Get,true,035149e07ba1cf0bbd1bc083f894f443b024347e,0,,-1
cumulus-2/data/60/a5/437633,Get,true,,-1,,-1
cumulus-2/data/69/6f/472566,Get,true,67424dce7b47e42b7f2373557878fd6e3f2d8c44,2628,,-1
cumulus-2/data/6c/43/392641,Glide,true,,-1,,-1
cumulus-2/data/6c/d4/164625,Get,true,116c2a8f2978d4f3bf04fefbe90a4eb29af882f2,0,,-1
cumulus-2/data/6e/25/75415,Govendor,true,,-1,,-1
cumulus-2/data/6f/1a/56719,Get,true,0a025b7e63adc15a622f29b0b2c4c3848243bbf6,3178,,-1
cumulus-2/data/6f/c2/91056,Get,true,e1e53277000d9ba09da1c8e0d73119c38e6b052e,3246,,-1
cumulus-2/data/74/5a/48161,gvt,true,,-1,,-1
cumulus-2/data/75/4a/406056,Get,true,d8fd13e6951f2ce46f0964a58149cf2f103cac9a,0,,-1
cumulus-2/data/76/7d/233802,Get,true,ebc7cef66d592b36b291cb3d53002ad971e291bc,0,,-1
cumulus-2/data/77/31/138230,Get,true,,-1,,-1
cumulus-2/data/78/a9/254554,Get,true,,-1,,-1
cumulus-2/data/79/48/222857,Get,true,d1c7836dd7a8bed502d4eda846d6fc88fcd48bbd,3566,,-1
cumulus-2/data/7a/4e/94868,Govendor,true,aa90671e0757094e528bd817a0113a719062250c,1106,,-1
cumulus-2/data/7c/87/402043,Get,true,0a1032732ea92f86ab22e27b9d55cd182f2f4a1b,0,,-1
cumulus-2/data/7f/56/439094,Get,true,c6f59505fb697eb388312c1018b65fa6ed6c44bb,0,,-1
cumulus-2/data/7f/97/62286,Get,false,6b7f6983c24c11981805683d7a624c5c032311ec,0,440447faac35514ee612aa849bbff6ad585190b7,0
cumulus-2/data/81/02/156096,Glide,true,,-1,,-1
cumulus-2/data/81/8c/429874,Glide,true,13c71b4ee127a3be43cfe30fd4e52ca4a395bb6e,2004,,-1
cumulus-2/data/84/82/284966,Godep,true,ebc27d05169d229611b4aafb681f5aa353e12020,0,,-1
cumulus-2/data/8a/c2/354468,Get,true,a539ee1a749a2b895533f979515ac7e6e0f5b650,3162,,-1
cumulus-2/data/8b/eb/255450,Get,true,9601c9808f2de0d7afe894ae844af2e494b94bb7,1075,,-1
cumulus-2/data/90/23/193387,Get,false,d10c0e9cfeac32cd94ee57c8eb8728abd6594618,2435,27a1ae8e983040df4c37e401e01312333b479b17,0
cumulus-2/data/97/99/230555,Glide,true,,-1,,-1
cumulus-2/data/97/d6/421485,Get,true,6a5e28554805e78ea6141142aba763936c4761c0,2956,,-1
cumulus-2/data/9e/09/365733,Get,true,199ff11a87615c83f1d770a9be76ad7160a51b97,0,,-1
cumulus-2/data/9f/e4/235622,Get,false,6564ff05cc50b880cde8fa1d4265e7ee3a4aba68,0,36322b638beeb0fe3e6b3a20b4ad575fd1434200,0
cumulus-2/data/a0/ff/297557,Get,true,50e616f764d85b7fe4b48d4dcf3bb8ce9ab97366,3121,,-1
cumulus-2/data/a1/80/144927,Get,true,553a641470496b2327abcac10b36396bd98e45c9,1990,,-1
cumulus-2/data/a1/f3/243636,Get,true,0e4ae46ea3f08de351074b643d649d5d00661a3c,0,,-1
cumulus-2/data/a7/fb/172167,Get,true,e20ffa3da443071c7b3d164dec5b1f80dfb2ecf3,1878,,-1
cumulus-2/data/aa/6b/6369,Get,true,5fecf9ce9b60b15f9cf951571575c418fc4b1d3a,3036,,-1
cumulus-2/data/ab/22/309713,Get,true,,-1,,-1
cumulus-2/data/ae/1c/297893,Get,true,,-1,,-1
cumulus-2/data/ae/84/359791,Get,true,,-1,,-1
cumulus-2/data/af/c5/264230,Get,true,e790cca94e6cc75c7064b1332e63811d4aae1a53,2820,,-1
cumulus-2/data/af/f9/269863,Get,false,9250637df1083710a57c981a0fd555511eebf99f,3301,a4fac9c8164ad3a585531cd3bd5b4f226b52ad63,0
cumulus-2/data/b1/3f/247181,Govendor,true,57257cd684ffd21d68ee5e8647717ef50f239646,2206,,-1
cumulus-2/data/b1/8c/216766,Get,true,,-1,,-1
cumulus-2/data/b2/df/451496,Get,true,,-1,,-1
cumulus-2/data/b4/fa/307445,Get,true,20d04065dbc6f79aac03bbfd49b6a9e0658f5842,0,,-1
cumulus-2/data/b8/94/22929,Get,true,,-1,,-1
cumulus-2/data/b9/02/176015,Glide,true,a204d799893d034d77a0887deb07655a7d793cb2,1532,,-1
cumulus-2/data/bb/99/75067,Get,false,960c4aa2da14eb1cd8722a97060af557943ee3ec,2527,df1f1317967381f224717825633bb31354d8767c,0
cumulus-2/data/bb/ee/344588,Get,true,89d8475e78565b97e913296b18e69c0760f37131,2258,,-1
cumulus-2/data/be/04/244138,Get,true,a564164fd0d8af7275b3199f94731a62450e3193,2946,,-1
cumulus-2/data/c0/01/154702,Get,true,c463f7ed034f0b387f6a50c6bfd44194c3ebaab3,2937,,-1
cumulus-2/data/c0/73/472515,Get,true,,-1,,-1
cumulus-2/data/c2/ec/355858,Glide,true,0cebd4eaef5eb7430bdde80761471b05af366a8d,1198,,-1
cumulus-2/data/c5/99/444704,Get,true,9438fae607eddba286723575340f45bc1831a4f1,2126,,-1
cumulus-2/data/c8/0d/336313,Get,false,95aba8dadfa9fe369d48ae9227e342417bcec195,541,53107b6c24de1a415c64abb895a8223b3218e6a3,0
cumulus-2/data/c8/42/173760,Get,true,89b14352547bfb1b93bc3447638076e321a8209a,3407,,-1
cumulus-2/data/cd/81/147106,Godep,true,55a07c00cd68250e328b151922fe1de7d80bf545,573,,-1
cumulus-2/data/cd/95/340481,Get,false,4044bc29b28064db4f08e947c4972d5ca3e0f3c8,2127,0e9d640108a47e321315535fae01d5e421ec49b7,841
cumulus-2/data/cd/c9/157003,Get,true,a0cbe4026e4236b898f12031c312e39becd63ae6,3054,,-1
cumulus-2/data/cd/d3/339397,Get,true,,-1,,-1
cumulus-2/data/cf/d6/250749,Get,true,72acac2207479d21dd45898c2a4264246c818148,0,,-1
